type_qid,type_label,sample_size,total_properties,mandatory_count,common_count,optional_count,top_mandatory,top_common
Q532,Q532,2,102,53,49,0,"P1464;P948;P31;P17;P6","P190;P47;P194;P138;P112"
Q56580425,Q56580425,1,79,79,0,0,"P1464;P948;P190;P31;P17",""
Q18388277,Q18388277,4,356,81,142,133,"P112;P214;P414;P31;P227","P973;P2740;P3153;P1889;P1056"
Q1641122,Q1641122,1,147,147,0,0,"P112;P214;P414;P31;P227",""
Q179164,Q179164,21,617,219,75,323,"P2924;P1082;P1667;P1151;P1333","P3106;P1304;P1451;P7850;P3365"
Q849866,Q849866,2,388,255,133,0,"P2924;P1082;P1667;P1151;P1333","P3916;P3219;P2573;P3000;P190"
Q13539802,Q13539802,8,276,53,52,171,"P18;P242;P625;P31;P131","P206;P163;P237;P1997;P2924"
Q1852859,Q1852859,5,236,46,49,141,"P18;P242;P625;P31;P131","P1376;P227;P1464;P1465;P1792"
Q1392581,Q1392581,3,250,77,63,110,"P18;P242;P625;P31;P131","P163;P1456;P421;P981;P1036"
Q51929311,Q51929311,25,559,66,58,435,"P18;P625;P31;P131;P856","P998;P402;P9957;P3451;P1245"
Q108178728,Q108178728,17,589,69,63,457,"P18;P625;P31;P856;P1376","P94;P1245;P7867;P8406;P9100"
Q6784672,Q6784672,1,137,137,0,0,"P856;P1465;P190;P1036;P1082",""
Q123980018,Q123980018,1,73,73,0,0,"P571;P112;P373;P625;P910",""
Q1656682,Q1656682,1,73,73,0,0,"P571;P112;P373;P625;P910",""
Q244381,Q244381,2,292,204,88,0,"P138;P1036;P194;P35;P36","P501;P1740;P906;P706;P7157"
Q703941,Q703941,7,19,17,1,1,"P131;P31;P630;P18;P625","P1766"
Q123733,Q123733,1,25,25,0,0,"P373;P242;P31;P856;P646",""
Q35127,Q35127,1,25,25,0,0,"P373;P242;P31;P856;P646",""
Q2577883,Q2577883,3,291,52,142,97,"P373;P625;P910;P646;P18","P998;P948;P935;P982;P47"
Q15239622,Q15239622,7,494,39,105,350,"P373;P625;P910;P18;P31","P998;P948;P3222;P47;P3612"
Q45220060,Q45220060,2,254,176,78,0,"P373;P625;P910;P998;P948","P3569;P1842;P949;P6404;P527"
Q813672,Q813672,1,22,22,0,0,"P17;P625;P373;P646;P31",""
Q6617741,Q6617741,1,22,22,0,0,"P17;P625;P373;P646;P31",""
Q11514315,Q11514315,1,18,18,0,0,"P31;P17;P571;P122;P194",""
Q2919801,Q2919801,1,127,127,0,0,"P856;P190;P17;P194;P41",""
Q956214,Q956214,3,198,198,0,0,"P2924;P373;P1225;P1082;P1667",""
Q200250,Q200250,12,497,72,84,341,"P2924;P373;P1082;P625;P910","P1225;P1667;P268;P1313;P1740"
Q1066984,Q1066984,4,336,88,113,135,"P31;P242;P402;P373;P625","P1036;P206;P349;P571;P1281"
Q208511,Q208511,7,507,101,81,325,"P31;P242;P402;P373;P625","P1621;P2633;P1313;P3222;P486"
Q174844,Q174844,10,429,89,80,260,"P31;P242;P402;P373;P625","P206;P349;P571;P1621;P1281"
Q7270,Q7270,17,631,212,82,337,"P2924;P1082;P1667;P1151;P1333","P3238;P2997;P1036;P1198;P7870"
Q63791824,Q63791824,8,542,252,107,183,"P2924;P1082;P1667;P1151;P1333","P213;P17;P3219;P4212;P1365"
Q21507383,Q21507383,5,240,46,40,154,"P190;P17;P131;P625;P910","P935;P1792;P1343;P47;P473"
Q55440238,Q55440238,1,134,134,0,0,"P190;P1151;P17;P194;P237",""
Q486972,Q486972,6,215,7,81,127,"P17;P131;P625;P31;P646","P910;P948;P856;P935;P982"
Q116052725,Q116052725,1,227,227,0,0,"P1036;P1151;P47;P30;P36",""
Q933394,Q933394,1,232,232,0,0,"P373;P625;P47;P910;P948",""
Q1078001,Q1078001,1,232,232,0,0,"P373;P625;P47;P910;P948",""
Q1357964,Q1357964,1,131,131,0,0,"P1082;P17;P31;P18;P131",""
Q110390579,Q110390579,1,131,131,0,0,"P1082;P17;P31;P18;P131",""
Q1115575,Q1115575,1,131,131,0,0,"P1082;P17;P31;P18;P131",""
Q223832,Q223832,4,552,272,153,127,"P2924;P1082;P1667;P1151;P1333","P409;P1482;P832;P206;P1365"
Q1520223,Q1520223,7,560,249,83,228,"P2924;P1082;P1667;P1151;P1333","P3365;P172;P209;P138;P1005"
Q5255892,Q5255892,4,514,260,146,108,"P2924;P1082;P1667;P1151;P1333","P213;P209;P268;P1365;P3000"
Q512187,Q512187,6,546,224,144,178,"P2924;P1082;P1667;P1151;P1333","P1546;P213;P3065;P209;P268"
Q842112,Q842112,2,392,252,140,0,"P1549;P1448;P1036;P1304;P1151","P2612;P3270;P1336;P3509;P1424"
Q859563,Q859563,6,506,209,141,156,"P1549;P1448;P1304;P1151;P935","P1036;P37;P832;P3270;P3509"
Q465613,Q465613,4,446,199,139,108,"P1549;P1448;P1036;P1304;P1151","P209;P1343;P706;P1365;P856"
Q118365,Q118365,1,355,355,0,0,"P1549;P1448;P1036;P1304;P1151",""
Q10711424,Q10711424,2,462,293,169,0,"P1549;P1448;P1036;P1304;P1151","P2612;P1336;P172;P4973;P1482"
Q3184121,Q3184121,1,149,149,0,0,"P190;P131;P17;P30;P31",""
Q348120,Q348120,1,37,37,0,0,"P361;P17;P373;P625;P31",""
