id,code,prefix,start,end,label
GV182-182.5,GV182-182.5,GV,182.0,182.5,Recreational areas and facilities.  Recreation centers
GV191.2-200.66,GV191.2-200.66,GV,191.2,200.66,Outdoor life.  Outdoor recreation
GV191.68-198.975,GV191.68-198.975,GV,191.68,198.975,Camping
GV198.945-198.975,GV198.945-198.975,GV,198.945,198.975,"Farm vacations, dude ranches, etc."
GV199-199.62,GV199-199.62,GV,199.0,199.62,Hiking.  Pedestrian tours
GV199.8-200.35,GV199.8-200.35,GV,199.8,200.35,Mountaineering
GV200.4-200.56,GV200.4-200.56,GV,200.4,200.56,Orienteering.  Wilderness survival
GV200.6-200.66,GV200.6-200.66,GV,200.6,200.66,Caving.  Spelunking
GV201-555,GV201-555,GV,201.0,555.0,Physical education and training
GV346-351.5,GV346-351.5,GV,346.0,351.5,School and college athletics.  Intramural and interscholastic athletics
GV401-433,GV401-433,GV,401.0,433.0,"Physical education facilities.  Sports facilities Including gymnasiums, athletic fields, playgrounds, etc."
GV435-436.7,GV435-436.7,GV,435.0,436.7,"Physical measurements.  Physical tests, etc."
GV450-451.4,GV450-451.4,GV,450.0,451.4,Nudism.  Sunbathing
GV460-555,GV460-555,GV,460.0,555.0,"Gymnastics.  Gymnastic exercises Including calisthenics, heavy exercises,"
GV557-1198.995,GV557-1198.995,GV,557.0,1198.995,Sports
GV711,GV711,GV,711.0,711.0,Coaching
GV712-725,GV712-725,GV,712.0,725.0,Athletic contests.  Sports events
GV733-734.5,GV733-734.5,GV,733.0,734.5,Professionalism in sports.  Professional sports (General)
GV735,GV735,GV,735.0,735.0,Umpires.  Sports officiating
GV743-749,GV743-749,GV,743.0,749.0,"Athletic and sporting goods, supplies, etc."
GV750-770.27,GV750-770.27,GV,750.0,770.27,"Air sports: Airplane flying, kiteflying, bungee jumping, etc."
GV770.3-840,GV770.3-840,GV,770.3,840.0,"Water sports: Canoeing, sailing, yachting, scuba diving, etc."
GV840.7-857,GV840.7-857,GV,840.7,857.0,"Winter sports: Ice hockey, skiing, bobsledding, snowmobiling, etc."
GV861-1017,GV861-1017,GV,861.0,1017.0,"Ball games: Baseball, football, golf, etc."
GV1020-1034,GV1020-1034,GV,1020.0,1034.0,Automobile travel.  Motoring.  Automobile racing
GV1040-1060.4,GV1040-1060.4,GV,1040.0,1060.4,Cycling.  Bicycling.  Motorcycling
GV1060.5-1098,GV1060.5-1098,GV,1060.5,1098.0,Track and field athletics
GV1100-1150.9,GV1100-1150.9,GV,1100.0,1150.9,"Fighting sports: Bullfighting, boxing, fencing, etc."
GV1151-1190,GV1151-1190,GV,1151.0,1190.0,Shooting.  Archery
GV1195-1198.995,GV1195-1198.995,GV,1195.0,1198.995,Wrestling
GV1199-1570,GV1199-1570,GV,1199.0,1570.0,Games and amusements
GV1201.5,GV1201.5,GV,1201.5,1201.5,Hobbies (General)
GV1203-1220.8,GV1203-1220.8,GV,1203.0,1220.8,Children's games and amusements
