pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
108944,Durocatalaunum,settlement,-30,2100,3027486,,ADM3,Q585380,arrondissement of Châlons-en-Champagne,48.91667,4.33333,,,,,true,false,true,true,false
108944,Durocatalaunum,settlement,-30,2100,3027487,,PPLA2,,,,,,,,,false,false,true,false,false
108944,Durocatalaunum,settlement,-30,2100,6618295,,ADM4,Q47135,Châlons-en-Champagne,48.956666666667,4.3644444444444,,,,,true,false,true,true,false
108945,Durocortorum,settlement,-330,2100,2984113,,ADM3,Q702181,arrondissement of Reims,49.166666666667,4.0833333333333,,,,,true,false,true,true,false
108945,Durocortorum,settlement,-330,2100,2984114,,PPLA3,Q41876,Reims,49.265277777778,4.0286111111111,,,,,true,false,true,true,false
108945,Durocortorum,settlement,-330,2100,6454251,,ADM4,,,,,,,,,false,false,true,false,false
108958,Elewijt,"fort-2, vicus",-30,2100,2798847,,PPL,Q1990353,Elewijt,50.9603,4.4969,,,,,true,false,true,true,false
108970,Etaples,settlement,-30,2100,3019441,,PPL,Q273522,Étaples,50.517777777778,1.6405555555556,,,,,true,false,true,true,false
108970,Etaples,settlement,-30,2100,6439513,,ADM4,,,,,,,,,false,false,true,false,false
108977,Fanum Martis,settlement,-30,2100,3019080,,PPL,Q665618,Famars,50.315555555556,3.5191666666667,,,,,true,false,true,true,false
108977,Fanum Martis,settlement,-30,2100,6438224,,ADM4,,,,,,,,,false,false,true,false,false
108997,Furfooz,"settlement, settlement-modern",-30,2100,2797894,,PPL,,,,,,,,,false,false,true,false,false
109002,Gelduba,fort,-30,2100,2921502,,PPL,,,,,,,,,false,false,true,false,false
109003,Geminiacum?,settlement,-30,2100,2784626,,ADM4,Q95123,Les Bons Villers,50.536666666667,4.45,,,,,true,false,true,true,false
109003,Geminiacum?,settlement,-30,2100,7910402,,PPL,,,,,,,,,false,false,true,false,false
109008,Gesoriacum/Bononia,settlement,-30,2100,11876731,Boulogne-Sur-Mer,PRT,,,,,,,,,false,false,true,false,false
109008,Gesoriacum/Bononia,settlement,-30,2100,3031132,,ADM3,Q700712,arrondissement of Boulogne-sur-Mer,50.75,1.8333333333333,,,,,true,false,true,true,false
109008,Gesoriacum/Bononia,settlement,-30,2100,3031133,,PPLA3,,,,,,,,,false,false,true,false,false
109008,Gesoriacum/Bononia,settlement,-30,2100,6439391,,ADM4,Q81997,Boulogne-sur-Mer,50.725555555556,1.6138888888889,,,,,true,false,true,true,false
109010,Givry,settlement,-30,2100,2797506,,PPL,Q3108212,Givry,50.3795142,4.0293435,,,,,true,false,true,true,false
109016,Grannum,settlement,-30,2100,3015368,,PPL,Q1115527,Grand,48.385555555556,5.4861111111111,,,,,true,false,true,true,false
109016,Grannum,settlement,-30,2100,6454833,,ADM4,Q1115527,Grand,48.385555555556,5.4861111111111,,,,,true,false,true,true,false
109019,Grobbendonk,settlement,-30,2100,2797094,,PPL,Q21769133,Grobbendonk,51.191352777778,4.7383583333333,,,,,true,false,true,true,false
109019,Grobbendonk,settlement,-30,2100,2797095,,ADM4,Q724389,Grobbendonk,51.191944444444,4.7386111111111,1026457,Grobbendonk,51.191944444444,4.7386111111111,true,true,true,true,true
109028,Halder,settlement,-30,2100,2754948,Halder,PPL,Q2380297,Halder,51.6489,5.3233,,,,,true,false,true,true,false
109029,Haltern,"fort-2, archaeological-site, fort",-30,2100,2911395,,PPL,Q14900,Haltern am See,51.75,7.1833333333333,,,,,true,false,true,true,false
