property_id,property_label,property_description,type_qids,type_labels,primary_facet,secondary_facets,all_facets,is_historical,is_authority_control,confidence,type_count
P88,commissioned by,person or organization that commissioned this work,Q134479137,Q134479137,UNKNOWN,,,False,False,0.5,1
P91,sexual orientation,"the sexual orientation of the person relative to their declared gender — use ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death","Q18608871,Q63870987",Wikidata property for items about people | Wikidata property related to LGBT,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P92,main regulatory text,text setting the main rules by which the subject is regulated,Q22984026,Wikidata property related to law and justice,DIPLOMATIC,,DIPLOMATIC,False,False,0.8,1
P94,coat of arms image,image of the item's coat of arms - for the shield part only use P4004,"Q18610173,Q18608993,Q22997934,Q26940804,Q121928698",Wikidata property to link to Commons | Wikidata property for items about organizations | Wikidata property related to government and state | Wikidata property for linking to a representative image | Q121928698,POLITICAL,,POLITICAL,False,False,0.8,5
P97,noble title,titles held by the person,Q18608871,Wikidata property for items about people,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,1
P98,editor,"person who checks and corrects a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre. Also applies to person who establishes the text of an ancient written work or manuscript.",Q134476104,Q134476104,UNKNOWN,,,False,False,0.5,1
P101,field of work,specialization of a person or organization; see P106 for the occupation,"Q57955292,Q56457408",Wikidata property for items about people or organisations | Wikidata property for items about positions,POLITICAL,,POLITICAL,False,False,0.8,2
P102,member of political party,the political party of which a person is or has been a member or otherwise affiliated,Q18608871,Wikidata property for items about people,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,1
P103,native language,language or languages a person (or group) has learned from early childhood,"Q18608871,Q18616084",Wikidata property for items about people | Wikidata property to indicate a language,DEMOGRAPHIC,LINGUISTIC,"DEMOGRAPHIC,LINGUISTIC",False,False,0.8,2
P105,taxon rank,level in a taxonomic hierarchy,Q18609040,Wikidata property related to taxa,UNKNOWN,,,False,False,0.5,1
P106,occupation,"occupation of a person. See also ""field of work"" (Property:P101), ""position held"" (Property:P39). Not for groups of people. There, use ""field of work"" (Property:P101), ""industry"" (Property:P452), ""members have occupation"" (Property:P3989).","Q18608871,Q70564278","Wikidata property for items about people | Wikidata property used as ""depicts"" (P180) qualifier on Commons",DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P108,employer,person or organization for which the subject works or worked,"Q18608871,Q26935994",Wikidata property for items about people | Wikidata property encoding a vCard value,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
