qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q114867307,Achaemenid Period,hierarchy,P156,followed by,0,normal,Q428995,Hellenistic period,,83p5r9rs7
Q114867307,Achaemenid Period,hierarchy,P156,followed by,1,normal,Q115664693,Selucid Period,,83p5r9rs7
Q114867307,Achaemenid Period,hierarchy,P156,followed by,2,normal,Q114877775,Parthian Period,,83p5r9rs7
Q114867307,Achaemenid Period,temporal,P9350,PeriodO period ID,0,normal,,83p5r9rs7,83p5r9rs7,83p5r9rs7
Q114867465,Early Old Babylonian Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbftf7p
Q114867465,Early Old Babylonian Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbftf7p,7ffbftf7p,7ffbftf7p
Q114867465,Early Old Babylonian Period,temporal,P580,start time,0,normal,,time=-2000-00-00T00:00:00Z;precision=9,time=-2000-00-00T00:00:00Z;precision=9,7ffbftf7p
Q114867465,Early Old Babylonian Period,temporal,P582,end time,0,normal,,time=-1900-00-00T00:00:00Z;precision=9,time=-1900-00-00T00:00:00Z;precision=9,7ffbftf7p
Q114867465,Early Old Babylonian Period,hierarchy,P155,follows,0,normal,Q109384761,Ur III period,,7ffbftf7p
Q114867465,Early Old Babylonian Period,hierarchy,P156,followed by,0,normal,Q1471568,Old Babylonian Period,,7ffbftf7p
Q114867907,Ebla Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfh6rb
Q114867907,Ebla Period,hierarchy,P31,instance of,1,normal,Q3448837,middle chronology,,7ffbfh6rb
Q114867907,Ebla Period,temporal,P580,start time,0,normal,,time=-2300-00-00T00:00:00Z;precision=9,time=-2300-00-00T00:00:00Z;precision=9,7ffbfh6rb
Q114867907,Ebla Period,temporal,P582,end time,0,normal,,time=-2250-00-00T00:00:00Z;precision=9,time=-2250-00-00T00:00:00Z;precision=9,7ffbfh6rb
Q114867907,Ebla Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfh6rb,7ffbfh6rb,7ffbfh6rb
Q114868851,Lagash II Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbf9qf7
Q114868851,Lagash II Period,temporal,P580,start time,0,normal,,time=-2200-00-00T00:00:00Z;precision=9,time=-2200-00-00T00:00:00Z;precision=9,7ffbf9qf7
Q114868851,Lagash II Period,temporal,P582,end time,0,normal,,time=-2100-00-00T00:00:00Z;precision=9,time=-2100-00-00T00:00:00Z;precision=9,7ffbf9qf7
